21484;21487,21483,22816,23495,25331,25263,22929
21485;21472,21486
31119;21334,28469
21487;21472,21486,21484,22932
20911;20897,20896
20910;20896,20908,27418
27497;24323,22703,27496
21483;21484,25331
27499;22877,27318,23683
27498;22878,27418,36305
20919;20876,20918,23730,24203,24321,27461
20918;20919,23730
27284;20907,27285,24206
27285;20908,24207,20905,27284,27282
21169;21450,23387,24363
25263;21484
27282;20907,27285,22557
25379;21174
25376;25459,25388
24491;28469,25566
24492;28169,25447
28509;28501,27675,27674,26933
28470;22627,22900
27808;21174,25513,27823
27607;20876,24203,24321,27461,23833
28483;25459,25388
23691;23690
23690;23691,23689
22627;28470,36525,28200
28425;25386,25481
27761;25384
27496;27497,27415
28521;25250,28520
27414;27415
27417;27416
27779;22595,28635
27886;23541,25384,25555,27682,28101
27676;23743,26854
28102;23154,28101
25345;25346,25359,33569
28218;21497,21450,23387
28219;21450,24363,23387
28217;21450,23387
25344;25359
21174;27808,25379
20907;20908,20905,27284,27282
21176;21178,21177,21159,28103
21177;21178,21176,28120
21170;24363,21178,21159
27303;27295
20901;22557,20896
22579;28029,28175
21178;21168,21170,21177,21176,21159,21449,22710,22931
20908;20910,20907,24206,27285
24052;25464,25266
22926;23541,27876,28029
25512;25514,27794,27820
26934;25526,27664,26933
25459;25376,25387,28021,28483,25466
22929;22932,22930,21486,21484
25347;25346,25359,28120
25346;25347,25345,25359,25358,28264
22670;22671,21053
22671;22670,28101,23541,25384,25555
28021;25459,25388,23155
21486;21472,21487,21485,22929,23495
27679;27664,26853,27677
23689;23690,24321,27436
22930;21168,21159,21449,22710,22931,22929
28029;22579,22926,33189
22844;28635,23387
27677;27665,27679,27672
21472;21487,21486,21485
22841;24064,25264
23681;23682,25482,28282
23682;23683,23681
23683;23682,22688,27499
27675;23743,28509
25583;25568,22727
21168;21178,21334,24363,22930,23130,28099
27672;27673,27677,26853
27674;28508,28509
25265;25264,28469
28635;22844,28170,23134,27779,28387
25526;28501,26934,25524,27866
27500;22804
25524;22727,25526
25378;23157,28410,28408,27809
25358;25346,25359,33569
25359;25347,25346,25345,25344,25338,25358,28122,28103,28264,33569
27436;23689,23833
27435;22813,22703
25540;25566
22710;21178,21334,24363,22930,22931
27431;27295,27293
22712;23786,22804
28520;28521,27820,31104
25445;25266
25266;24052,25447,25445,28168
25447;25266,25464,24492,28145
27820;25512,28520
28508;27674,25480,27655,26920
27822;27809,27821
27823;27808,25568,28191,28190
28032;28034,33568
28033;28034,36524
28409;25377,28292,36024,28408
28408;25378,28409
21501;33530
21500;21503,25385
21503;33292,21500,22598
28035;28036,22900
28403;22901,28402
28402;28403,28362
27664;27665,27679,26934
27665;27664,26933,27677
33569;28410,25345,25359,25358,28264
31104;23718,24125,25250,28520
22557;20901,27282
22663;22680,33189
22931;22932,21178,21334,24363,22710,22930
28126;27682
27809;27810,25378,27822,28415
28120;21177,25338,25347,28122,28103
28122;25359,28120
28123;21044
26853;27679,27672,26854
24192;24207,24206,24205
